,Title,Published_date,Views,Likes,Comments,Month
125,Critiquing MY OWN Data Science Resume,7/6/2020,12239,387,90,Jul
126,Where to Start Learning Data Science,7/3/2020,18076,762,131,Jul
127,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",7/1/2020,3951,196,37,Jul
128,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),6/29/2020,4452,175,54,Jun
129,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,6/26/2020,15297,541,79,Jun
130,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),6/22/2020,2334,82,40,Jun
131,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",6/20/2020,2367,137,51,Jun
132,Reviewing Your Data Science Projects - Episode 8 (College Student Help),6/15/2020,4186,163,46,Jun
133,Why You're Struggling to Learn Data Science,6/12/2020,15026,1005,160,Jun
134,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),6/8/2020,10324,322,70,Jun
135,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],6/5/2020,21625,649,151,Jun
136,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),6/1/2020,5625,154,53,Jun
137,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],5/29/2020,60436,1961,260,May
138,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),5/25/2020,20844,487,81,May
139,Different Data Science Roles Explained (by a Data Scientist),5/22/2020,50705,1802,176,May
140,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),5/18/2020,11078,177,55,May
141,How to Make A Data Science Portfolio Website with Github Pages,5/15/2020,102547,3728,188,May
142,10000 Subscriber and 100th Video Special (Data Science),5/13/2020,3088,146,115,May
143,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),5/11/2020,4323,150,74,May
144,How I Would Learn Data Science (If I Had to Start Over),5/8/2020,1369682,48559,1997,May
145,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),5/4/2020,5188,189,42,May
146,What You Need to Know for a Data Science Internship,5/1/2020,18043,1048,61,May
147,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),4/27/2020,8074,345,57,Apr
148,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),4/24/2020,14886,460,103,Apr
149,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,4/22/2020,2981,84,24,Apr
150,5 Tips for Crushing the Work From Home Life,4/20/2020,5269,201,38,Apr
151,Data Science Project from Scratch - Part 7 (Documenting Your Work),4/17/2020,16231,629,122,Apr
152,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),4/15/2020,23228,633,95,Apr
153,Data Science Project from Scratch  - Part 5 (Model Building),4/13/2020,35563,770,142,Apr
154,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),4/10/2020,60403,1669,203,Apr
155,Data Science Project from Scratch - Part 3 (Data Cleaning),4/8/2020,64093,1527,258,Apr
156,Data Science Project from Scratch - Part 2 (Data Collection),4/6/2020,94366,2857,607,Apr
157,Data Science Project from Scratch - Part 1 (Project Planning),4/3/2020,138940,3940,162,Apr
158,When Data Science Goes Wrong,3/30/2020,1772,106,32,Mar
159,How to ULTRALEARN Data Science,3/27/2020,60151,3756,167,Mar
160,Why Right NOW is a Great Time to Learn Data Science,3/23/2020,4258,265,50,Mar
161,Data Science Project Example Start to Finish (Deep Learning Image Classifier),3/20/2020,11877,438,45,Mar
162,The Secret Data Scientists Don't Want You to Know,3/16/2020,10358,1115,107,Mar
163,The 5 Stages of Learning Data Science,3/13/2020,16954,1265,78,Mar
164,Can You Learn Data Science Without a Computer?,3/11/2020,1402,103,14,Mar
165,The Best Free Data Science Courses Nobody is Talking About,3/9/2020,331909,20642,616,Mar
166,The Data Science Projects that Got Me a Job,3/6/2020,38492,1339,41,Mar
167,How to Integrate Data Science into Your Business,3/2/2020,3258,124,18,Mar
168,The Problem with Data Science,2/28/2020,3686,150,21,Feb
169,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2/24/2020,1104,46,16,Feb
170,How to Set Up Your Data Science Environment (Anaconda Beginner),2/21/2020,105288,2123,95,Feb
171,3 Proven Data Science Projects for Beginners (Kaggle),2/17/2020,301191,16920,512,Feb
172,Data Science Advice for College Students,2/14/2020,67681,1937,195,Feb
173,Avoid These Data Science Resume Mistakes!,2/10/2020,26489,1182,58,Feb
174,Data Science Explained with ... Cooking?,2/7/2020,4698,289,47,Feb
175,The 4 Types of Sports Analytics Projects,2/3/2020,24842,851,60,Feb
176,Data Science in Golf: PGA Merchandise Show 2020,1/31/2020,547,18,13,Jan
177,How I Learned Data Science,1/27/2020,91814,2622,210,Jan
178,What is Sports Analytics Really?,1/20/2020,18247,546,73,Jan
